,year,lifeLadder,gpdPerCapita,socialSupport,healthyLifeExpectancyAtBirth,freedomToMakeLifeChoices,generosity,corruption,positiveAffect,negativeAffect
year,1.0,0.045680774285118804,0.07759974911617745,-0.04610418501609064,0.16409290391475537,0.2308511844685091,0.029841681688541226,-0.08002551114493185,0.011559451711437546,0.2075197448921865
lifeLadder,0.045680774285118804,1.0,0.7725629669679511,0.7193063009565247,0.7090982450533788,0.5361922127960008,0.17427687259910948,-0.4221133381360406,0.512083372841311,-0.3487443344533645
gpdPerCapita,0.07759974911617745,0.7725629669679511,1.0,0.6698398418309356,0.8057930526309899,0.3570536115863918,6.492389871213026e-05,-0.34151959272430604,0.2239651559148815,-0.25098875729373277
socialSupport,-0.04610418501609064,0.7193063009565247,0.6698398418309356,1.0,0.58773388585358,0.40424974258236096,0.06580853996682708,-0.21743213551125862,0.4218528469492645,-0.45086224320209217
healthyLifeExpectancyAtBirth,0.16409290391475537,0.7090982450533788,0.8057930526309899,0.58773388585358,1.0,0.36892904670320825,0.0160930179317308,-0.29335008081286007,0.21069601254275977,-0.14004696275997294
freedomToMakeLifeChoices,0.2308511844685091,0.5361922127960008,0.3570536115863918,0.40424974258236096,0.36892904670320825,1.0,0.3141583993777718,-0.45478651334110465,0.5764365178270738,-0.2753278252583583
generosity,0.029841681688541226,0.17427687259910948,6.492389871213026e-05,0.06580853996682708,0.0160930179317308,0.3141583993777718,1.0,-0.26050300260019593,0.29528248467370516,-0.07133745097660867
corruption,-0.08002551114493185,-0.4221133381360406,-0.34151959272430604,-0.21743213551125862,-0.29335008081286007,-0.45478651334110465,-0.26050300260019593,1.0,-0.2688027608532858,0.25894907209191936
positiveAffect,0.011559451711437546,0.512083372841311,0.2239651559148815,0.4218528469492645,0.21069601254275977,0.5764365178270738,0.29528248467370516,-0.2688027608532858,1.0,-0.33333007239024776
negativeAffect,0.2075197448921865,-0.3487443344533645,-0.25098875729373277,-0.45086224320209217,-0.14004696275997294,-0.2753278252583583,-0.07133745097660867,0.25894907209191936,-0.33333007239024776,1.0
